,tin,mahalla,mahalla_code,viloyat,tuman,sektor,coato,region_id,district_id
4003,202893995,FAROVON,6088,Sirdaryo viloyati,Sirdaryo tumani,3,1724231,8,104
4004,202684384,QARSHI,10252,Qashqadaryo viloyati,Qarshi shahar,2,1710401,3,190
4005,305037614,OBOD,2471,Qashqadaryo viloyati,Kitob tumani,1,1710232,3,42
4006,202873008,BERUNIY,2067,Jizzax viloyati,Zomin tumani,3,1708218,2,30
4007,202862979,BAXT,2066,Jizzax viloyati,Zomin tumani,3,1708218,2,30
4008,203509551,CHILONZOR,2078,Jizzax viloyati,Zomin tumani,3,1708218,2,30
4009,202862962,ULUGʻBEK,2076,Jizzax viloyati,Zomin tumani,3,1708218,2,30
4010,302810858,BARKAMOLLIK,8571,Xorazm viloyati,Xonqa tumani,1,1733223,12,154
4011,302811033,FIDOYILAR,8572,Xorazm viloyati,Xonqa tumani,1,1733223,12,154
4012,302811040,VATANPARVAR,8573,Xorazm viloyati,Xonqa tumani,1,1733223,12,154
4013,302778335,DOʻSTLIK,8563,Xorazm viloyati,Xonqa tumani,1,1733223,12,154
4014,302811064,MAHORAT,8583,Xorazm viloyati,Xonqa tumani,2,1733223,12,154
4015,302777566,DURGADIK,8576,Xorazm viloyati,Xonqa tumani,2,1733223,12,154
4016,302810905,EZGULIK,8582,Xorazm viloyati,Xonqa tumani,2,1733223,12,154
4017,304484692,TAYANCH,10935,Xorazm viloyati,Xonqa tumani,2,1733223,12,154
4018,302810984,BUNYODKOR,8585,Xorazm viloyati,Xonqa tumani,3,1733223,12,154
4019,302773968,GʻAYRAT,8591,Xorazm viloyati,Xonqa tumani,3,1733223,12,154
4020,302776433,MADANIYAT,8590,Xorazm viloyati,Xonqa tumani,3,1733223,12,154
4021,302810952,PORLOQ,8595,Xorazm viloyati,Xonqa tumani,3,1733223,12,154
4022,302810976,AHILLIK,8594,Xorazm viloyati,Xonqa tumani,3,1733223,12,154
4023,302810937,MANGULIK,8605,Xorazm viloyati,Xonqa tumani,4,1733223,12,154
4024,302777559,PAXTAKOR,8604,Xorazm viloyati,Xonqa tumani,4,1733223,12,154
4025,302775704,DOʻRMON,8600,Xorazm viloyati,Xonqa tumani,4,1733223,12,154
4026,203840395,PAXTAKOR,2809,Qashqadaryo viloyati,Shahrisabz tumani,3,1710245,3,49
4027,202983979,SHAMATON,10779,Qashqadaryo viloyati,Shahrisabz tumani,3,1710245,3,49
4028,303244421,XALQOBOD,10787,Qashqadaryo viloyati,Shahrisabz tumani,3,1710245,3,49
4029,305848926,TANXOZ,10791,Qashqadaryo viloyati,Shahrisabz tumani,3,1710245,3,49
4030,202706205,YOGʻDU,3744,Namangan viloyati,Uchqo‘rg‘on tumani,3,1714234,5,66
4031,202706197,DEHQONOBOD,3743,Namangan viloyati,Uchqo‘rg‘on tumani,3,1714234,5,66
4032,202810496,SHAYXON,3387,Namangan viloyati,Kosonsoy tumani,4,1714207,5,60
4033,202810536,A.JOMIY,3375,Namangan viloyati,Kosonsoy tumani,4,1714207,5,60
4034,202810568,OʻRTA KOʻCHA,3384,Namangan viloyati,Kosonsoy tumani,4,1714207,5,60
4035,202813587,ZAMONDOSH,3386,Namangan viloyati,Kosonsoy tumani,4,1714207,5,60
4036,202679635,DOʻSTLIK,3896,Namangan viloyati,Yangiqo‘rg‘on tumani,1,1714242,5,69
4037,207055127,SOHIBKOR,3911,Namangan viloyati,Yangiqo‘rg‘on tumani,1,1714242,5,69
4038,202679628,SOY BOʻYI,3910,Namangan viloyati,Yangiqo‘rg‘on tumani,1,1714242,5,69
4039,207015279,OLMAZOR,3908,Namangan viloyati,Yangiqo‘rg‘on tumani,1,1714242,5,69
4040,203084521,TALOQTEPA,2692,Qashqadaryo viloyati,Ko‘kdala tumani,1,1710240,3,47
4041,305058628,OLTIN DALA,2689,Qashqadaryo viloyati,Ko‘kdala tumani,1,1710240,3,47
4042,203087493,GALABEK,10798,Qashqadaryo viloyati,Chiroqchi tumani,2,1710242,3,48
4043,203084481,QURUQSOY,10799,Qashqadaryo viloyati,Chiroqchi tumani,2,1710242,3,48
4044,203084355,OBOD,10801,Qashqadaryo viloyati,Chiroqchi tumani,2,1710242,3,48
4045,202782532,NAVOIY,2705,Qashqadaryo viloyati,Chiroqchi tumani,2,1710242,3,48
4046,203084506,ANNARUZ,2707,Qashqadaryo viloyati,Ko‘kdala tumani,3,1710240,3,47
4047,201748620,DODIQ,2709,Qashqadaryo viloyati,Chiroqchi tumani,2,1710242,3,48
4048,202782571,KISHMISHTEPA,2713,Qashqadaryo viloyati,Chiroqchi tumani,2,1710242,3,48
4049,201748755,QUMDARYO,2716,Qashqadaryo viloyati,Ko‘kdala tumani,3,1710240,3,47
4050,203084498,SUVLIQ,2719,Qashqadaryo viloyati,Ko‘kdala tumani,3,1710240,3,47
4051,203097251,UYMOVUT,2721,Qashqadaryo viloyati,Ko‘kdala tumani,3,1710240,3,47
4052,201748770,XUMO,2722,Qashqadaryo viloyati,Chiroqchi tumani,2,1710242,3,48
4053,202921801,MIROBOD,6551,Toshkent viloyati,Yuqorichirchiq tumani,3,1727239,10,125
4054,204346344,CHORSHANBE,10846,Qashqadaryo viloyati,Shahrisabz tumani,4,1710245,3,49
4055,203842069,ACHCHIGʻI,2816,Qashqadaryo viloyati,Shahrisabz tumani,4,1710245,3,49
4056,304977918,KOʻL,2818,Qashqadaryo viloyati,Shahrisabz tumani,4,1710245,3,49
4057,202915104,MIRAKI,2821,Qashqadaryo viloyati,Shahrisabz tumani,4,1710245,3,49
4058,204029452,AMIR TEMUR,10838,Qashqadaryo viloyati,Shahrisabz tumani,4,1710245,3,49
4059,202902089,QOʻRGʻONTEPA,10839,Qashqadaryo viloyati,Shahrisabz tumani,4,1710245,3,49
4060,304978100,SHAKARTERI,10847,Qashqadaryo viloyati,Shahrisabz tumani,4,1710245,3,49
4061,304978117,SHIRAMON,10848,Qashqadaryo viloyati,Shahrisabz tumani,4,1710245,3,49
4062,204354231,MUSTAQILLIK,8530,Xorazm viloyati,Xazorasp tumani,2,1733220,12,152
4063,204354294,OTALIQ,8531,Xorazm viloyati,Xazorasp tumani,2,1733220,12,152
4064,205235710,PAXLAVON MAXMUD,9828,Xorazm viloyati,Xazorasp tumani,3,1733220,12,152
4065,305558812,MING OTLIQLAR,9825,Xorazm viloyati,Xazorasp tumani,3,1733220,12,152
4066,206718449,PICHOQCHI,8551,Xorazm viloyati,Xazorasp tumani,3,1733220,12,152
4067,206735824,BOʻSTON,8550,Xorazm viloyati,Xazorasp tumani,3,1733220,12,152
4068,204354224,QOVUNCHI,8549,Xorazm viloyati,Xazorasp tumani,3,1733220,12,152
4069,204354169,GULZOR,8545,Xorazm viloyati,Xazorasp tumani,3,1733220,12,152
4070,204354248,OYBEK,8556,Xorazm viloyati,Xazorasp tumani,4,1733220,12,152
4071,205291381,SULAYMON QALʻASI,9832,Xorazm viloyati,Xazorasp tumani,4,1733220,12,152
4072,305579683,BOGʻIROGʻLAR,9831,Xorazm viloyati,Xazorasp tumani,4,1733220,12,152
4073,207000148,ISHCHILAR,8555,Xorazm viloyati,Xazorasp tumani,4,1733220,12,152
4074,305577038,BUYUK-SIYMO,9830,Xorazm viloyati,Xazorasp tumani,4,1733220,12,152
4075,305529594,TUPRAQQALʻA,9536,Xorazm viloyati,Tuproqqal'a tumani,1,1733221,12,200
4076,205230204,SAIDLAR,9534,Xorazm viloyati,Tuproqqal'a tumani,1,1733221,12,200
4077,207123549,SAYAPIR,9533,Xorazm viloyati,Tuproqqal'a tumani,1,1733221,12,200
4078,205230164,YOʻLDOSH OXUNBOBOYEV,9537,Xorazm viloyati,Tuproqqal'a tumani,2,1733221,12,200
4079,205230171,YOSHLIK,9541,Xorazm viloyati,Tuproqqal'a tumani,3,1733221,12,200
4080,204356728,SHAYXLAR,9545,Xorazm viloyati,Tuproqqal'a tumani,4,1733221,12,200
4081,207128121,SHANGʻI,8348,Xorazm viloyati,Gurlan tumani,1,1733208,12,149
4082,207128271,MARBUGAT,8349,Xorazm viloyati,Gurlan tumani,1,1733208,12,149
4083,206842027,BUNYODKOR,2413,Qashqadaryo viloyati,Koson tumani,2,1710229,3,41
4084,207208425,XAYDAROBOD,6598,Toshkent viloyati,Qibray tumani,2,1727248,10,126
4085,202985073,AHILLIK,6624,Toshkent viloyati,Qibray tumani,3,1727248,10,126
4086,202875882,NAVROʻZ,6622,Toshkent viloyati,Qibray tumani,3,1727248,10,126
4087,205228497,XONIYON,2378,Qashqadaryo viloyati,Qarshi tumani,3,1710224,3,40
4088,201286611,CHAROGʻIL,2379,Qashqadaryo viloyati,Qarshi tumani,3,1710224,3,40
4089,205982258,BATOSH,10970,Qashqadaryo viloyati,Qarshi tumani,3,1710224,3,40
4090,200688508,DASHT,2370,Qashqadaryo viloyati,Qarshi tumani,3,1710224,3,40
4091,203101214,SAROY,2376,Qashqadaryo viloyati,Qarshi tumani,3,1710224,3,40
4092,203081724,KERAYIT,10896,Qashqadaryo viloyati,Qarshi tumani,4,1710224,3,40
4093,200689054,BOGʻOBOD,2383,Qashqadaryo viloyati,Qarshi tumani,4,1710224,3,40
4094,203521301,PAXTAZOR,2389,Qashqadaryo viloyati,Qarshi tumani,4,1710224,3,40
4095,205309847,TAXTAPUL,2392,Qashqadaryo viloyati,Qarshi tumani,4,1710224,3,40
4096,203121672,AYZABOD,2526,Qashqadaryo viloyati,Mirishkor tumani,1,1710233,3,43
4097,203121664,MIROBOD,2531,Qashqadaryo viloyati,Mirishkor tumani,1,1710233,3,43
4098,203121657,NURAFSHON,2533,Qashqadaryo viloyati,Mirishkor tumani,1,1710233,3,43
4099,206175209,OQMACHIT,2536,Qashqadaryo viloyati,Mirishkor tumani,1,1710233,3,43
4100,206975597,YANGIARIQ,2540,Qashqadaryo viloyati,Mirishkor tumani,1,1710233,3,43
