,махаля,region_id,district_id
669,ЯНГИ ЎЗБЕКИСТОН,3,41
670,ОБИҲАЁТ,3,41
671,МИРЗАҚАЛъА,1,19
672,МУСТАҚИЛЛИК,1,19
673,ХЎЖАКОН,1,19
674,ЧОВЛИ,1,19
675,РЕГИ ҲАЙДАР,1,19
676,БАНДБОШИ,1,19
677,ДЎРМАН,1,19
678,ҚУЛОНЧИ,1,19
679,ПАЙКЕНТ,1,19
680,СОЛУР,1,19
681,ЧЕКИРЧИ,1,19
682,ШЎРРАБОТ,1,19
683,ВАХМ,1,19
684,ТАЙҚИР,1,19
685,ҚУВВАЧА,1,19
686,ҚОРА ҚУЛОНЧИ,1,19
687,КЕТМОНДЎГДИ,1,19
688,АРНА,1,19
689,ЧАНДИРОБОД,1,19
690,ХЎЖАЛАР,1,19
691,ИСТИҚЛОЛ,1,19
692,ДЎСТЛИК,1,19
693,ДАРҒАБОҒИ,1,19
694,ИСТИҚЛОЛ ,1,191
695,БОҒИДАШТ,1,191
696,ФОШУН,1,191
697,САДРИДДИН АЙНИЙ  ,1,191
698,ОЙБЕК,1,191
699,НАМОЗГОҲ,1,191
700,ДЎСТЛИК,1,191
701,ЛОША,1,191
702,ЙЎШЛИК,1,191
703,БИХИШТИЁН,1,191
704,ИСТИҚЛОЛ,1,23
705,БОҒИБАЛАНД,6,179
706,ЮКСАЛИШ,6,179
707,МЎЛИЁНИ ПОЁН,6,179
708,ЭСКИ ҚАЛАНДАРХОНА,6,179
709,МЎЛИЁН,6,179
710,МУБОРАК,6,179
711,ҒИЁСИДДИН ЖАМШИД,6,179
712,ГУРИ-АМИР,6,179
713,ЁМИНИЙ,6,179
714,ЗАРАФШОН,6,179
715,ЗОМИНИЙ,6,179
716,ИМОМ ВОСЕ,6,179
717,ДАРҒОМ,6,179
718,ФОЗИЛТЕПА,9,106
719,ИНОҚОБОД,9,110
720,БИРОДАРЛИК,9,110
721,ТОЛАРИҚ,9,110
722,ЯНГИ ҚЎЙЛИК,9,110
723,БАЁТ,9,110
724,ЯНГИОБОД,7,91
725,ГУЛТЕПА,7,91
726,ЖАРҚИШЛОҚ,7,91
727,ЖИЙДАЛИ,7,91
728,ЖОЗИБА,7,91
729,КИНДИКТЕПА,7,91
730,МУНЧОҚТЕПА,7,91
731,НАВБАҲОР,7,91
732,САХОВАТ,7,91
733,ЕЛОБОД,7,91
734,ХУРРИЯТ,7,91
735,ЕГАРЧИ,7,97
736,ТЎЛА,7,97
737,ТОЛЛИ,7,97
738,ТАМАДДУН,7,97
739,ОЛИЙХИММАТ,7,97
740,КОНОБОД,7,97
741,ГУЛИСТОН,7,97
742,КУШОН,7,97
743,ОБОД ТУРМУШ,7,84
744,ҚУРАМА-1,7,84
745,ҚОРАТЕПА,7,84
746,ЖИЯНБОБО,7,84
747,ГУЛЧЕЧАК,7,84
748,ХИДИРШО,7,84
749,ХЎЖАОБОД,5,68
750,ИТТИФОҚ,5,65
751,БУНЁДКОР,1,191
752,АЛИШЕР НАВОИЙ ,1,191
753,АМИР ТЕМУР,1,191
754,АБДУРАУФ ФИТРАТ,1,191
755,НИЗОМИЙ ГАНЖАВИЙ ,1,191
756,НАВРЎЗ ,1,191
757,УЛУҒБЕК ,1,191
758,КЎКАЛДОШ ,1,191
759,ҒАФУР ҒУЛОМ ,1,191
760,ЯНГИОБОД,1,191
761,ШОДЛИК,1,191
762,ҲАВЗИ-НАВ,1,191
763,ФАЙЗУЛЛО ХЎЖАЙЕВ ,1,191
764,ОЛИМ ХЎЖАЙЕВ ,1,191
765,АХМАД ДОНИШ,1,191
766,ЗУЛФИЗАР,9,106
767,ШАРҚ ЮЛДУЗИ,1,191
768,САъДИ ШЕРОЗИЙ,1,191
769,ОТБОЗОР,1,191
770,ХАН-ЖАП,13,164
771,ЎРНЕК,13,164
772,АРНА БЎЙИ,13,159
773,АМИР ТЕМУР,13,159
774,АЁҚЧИ,13,159
775,ФАРОВОН,13,159
776,ХИЗИР ЕЛИ,13,159
777,ТОШҚАЛъА,13,159
778,БОБУР,13,159
779,КУЮК-КЎПИР,13,159
780,ЖУМУРТАУ,13,159
781,ЖУМУР ОВИЛ,13,159
